Key	EN	Th
Stats	Stat	Stat
Relationship	-	-
Hungry	-	-
Energy	-	-
Cleanliness	-	-
Relationships	Relationship	Relationship
Annoying	Annoying	น่ารำคาญ
Amiable	Amiable	เป็นกันเอง
Friend	Friend	เพื่อน
SoulMate	SoulMate	โซลเมท
Love	Love	ความรัก
Quests	Quest	Quest
quest_eatfood	ให้อาหารสัตว์เลี้ยง	ได้รับดาวจากการให้อาหารสัตว์เลี้ยง
quest_eathappyfood	มอบอาหารที่สัตว์เลี้ยงชื่นชอบ	ได้รับดาวจากการมอบอาหารที่สัตว์เลี้ยงชื่นชอบ
quest_playball	พาสัตว์เลี้ยงเล่นฟุตบอล	พาสัตว์เลี้ยงเล่นฟุตบอล
quest_playmemory	พาสัตว์เลี้ยงเล่นท้าทายความจำ	พาสัตว์เลี้ยงเล่นท้าทายความจำ
quest_playguess	พาสัตว์เลี้ยงเล่นทายแก้ว	พาสัตว์เลี้ยงเล่นทายแก้ว
quest_dance	พาสัตว์เลี้ยงเต้นออกกำลังกาย	พาสัตว์เลี้ยงเต้นออกกำลังกาย
quest_clean	รักษาความสะอาดให้สัตว์เลี้ยง	ได้รับดาวจากการรักษาความสะอาดให้สัตว์เลี้ยง
quest_sleep	พาสัตว์เลี้ยงเข้านอน	ได้รับดาวจากการพาสัตว์เลี้ยงเข้านอน
quest_journey	พาสัตว์เลี้ยงออกเดินทาง	พาสัตว์เลี้ยงออกเดินทาง
quest_petting	ลูบหัวสัตว์เลี้ยง	ลูบหัวสัตว์เลี้ยง
quest_givestar	ได้รับดาวจากสัตว์เลี้ยง	ได้รับดาวจากสัตว์เลี้ยง
quest_balloon	เก็บลกโปร่งที่ล่องลอย	เก็บลูกโปร่งที่ล่องลอย